"","long","lat","freq"
"1168",146.5,-21.5,3
"1239",144,-20.5,3
"1243",146,-20.5,3
"1300",136.5,-19.5,3
"1302",137.5,-19.5,3
"1455",138,-17.5,3
"167",140,-34.5,2
"242",139.5,-33.5,2
"281",140,-33,2
"338",149.5,-32.5,2
"339",150,-32.5,2
"580",137.5,-29,2
"667",143,-28,2
"706",143.5,-27.5,2
"710",145.5,-27.5,2
"1096",148.5,-22.5,2
"1171",148,-21.5,2
"1191",139,-21,2
"1240",144.5,-20.5,2
"1348",141.5,-19,2
"1373",135,-18.5,2
"1526",135.5,-16.5,2
"32",148.5,-36.5,1
"96",142.5,-35.5,1
"146",148.5,-35,1
"184",148.5,-34.5,1
"203",139,-34,1
"353",138,-32,1
"390",137.5,-31.5,1
"456",151.5,-31,1
"494",151.5,-30.5,1
"569",151,-29.5,1
"590",142.5,-29,1
"591",143,-29,1
"619",138,-28.5,1
"637",147,-28.5,1
"709",145,-27.5,1
"734",138.5,-27,1
"764",134.5,-26.5,1
"893",142,-25,1
"1001",139,-23.5,1
"1007",142,-23.5,1
"1038",138.5,-23,1
"1241",145,-20.5,1
"1244",146.5,-20.5,1
"1446",133.5,-17.5,1
"1452",136.5,-17.5,1
"1499",141,-17,1
"1",133,-36.5,0
"2",133.5,-36.5,0
"3",134,-36.5,0
"4",134.5,-36.5,0
"5",135,-36.5,0
"6",135.5,-36.5,0
"7",136,-36.5,0
"8",136.5,-36.5,0
"9",137,-36.5,0
"10",137.5,-36.5,0
"11",138,-36.5,0
"12",138.5,-36.5,0
"13",139,-36.5,0
"14",139.5,-36.5,0
"15",140,-36.5,0
"16",140.5,-36.5,0
"17",141,-36.5,0
"18",141.5,-36.5,0
"19",142,-36.5,0
"20",142.5,-36.5,0
"21",143,-36.5,0
"22",143.5,-36.5,0
"23",144,-36.5,0
"24",144.5,-36.5,0
"25",145,-36.5,0
"26",145.5,-36.5,0
"27",146,-36.5,0
"28",146.5,-36.5,0
"29",147,-36.5,0
"30",147.5,-36.5,0
"31",148,-36.5,0
"33",149,-36.5,0
"34",149.5,-36.5,0
"35",150,-36.5,0
"36",150.5,-36.5,0
"37",151,-36.5,0
"38",151.5,-36.5,0
"39",133,-36,0
"40",133.5,-36,0
"41",134,-36,0
"42",134.5,-36,0
"43",135,-36,0
"44",135.5,-36,0
"45",136,-36,0
"46",136.5,-36,0
"47",137,-36,0
"48",137.5,-36,0
"49",138,-36,0
"50",138.5,-36,0
"51",139,-36,0
"52",139.5,-36,0
"53",140,-36,0
"54",140.5,-36,0
"55",141,-36,0
"56",141.5,-36,0
"57",142,-36,0
"58",142.5,-36,0
"67",147,-36,0
"68",147.5,-36,0
"69",148,-36,0
"70",148.5,-36,0
"71",149,-36,0
"72",149.5,-36,0
"73",150,-36,0
"74",150.5,-36,0
"75",151,-36,0
